Old ID,New ID,Date,Year,Month,Common Name,Species,Latitude,Longitude,Island_Atoll,Binary_Location,PCL (cm),FL (cm),TL (cm),Sex,d13C,d15N,C:N
28,CAL-7,3/24/14,2014,3,Silvertip Shark,C. albimarginatus,-5.367266667,72.22035,Salomon,WiderArchipelago,101,112,122,F,-15.2,12.7,3.1
111,CAM-33,4/14/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-5.365966667,72.20743333,Salomon,WiderArchipelago,113,125,152,F,-15.5,14.2,3.2
17,CAL-17,3/28/15,2015,3,Silvertip Shark,C. albimarginatus,-5.338133333,71.96768333,Peros Banhos,WiderArchipelago,100,110,132,F,-14.7,14.2,3.3
108,CAM-7,3/23/14,2014,3,Grey Reef Shark,C. amblyrhynchos,-5.33685,72.2272,Salomon,WiderArchipelago,84,94,116,M,-13.2,14.2,3.4
109,CAM-8,3/23/14,2014,3,Grey Reef Shark,C. amblyrhynchos,-5.33685,72.2272,Salomon,WiderArchipelago,98,108,125,M,-12.3,13.5,2.9
32,CAL-38,4/14/16,2016,4,Silvertip Shark,C. albimarginatus,-5.316666667,72.27615,Salomon,WiderArchipelago,104,116,144,F,-15.7,14.9,3.2
83,CAM-29,3/24/14,2014,3,Grey Reef Shark,C. amblyrhynchos,-5.316183333,72.23473611,Salomon,WiderArchipelago,107,115.5,131,M,-15.0,14.8,3.2
31,CAL-37,4/14/16,2016,4,Silvertip Shark,C. albimarginatus,-5.314283333,72.27083333,Salomon,WiderArchipelago,79,87,104,F,-15.0,15.5,3.3
33,CAL-40,4/14/16,2016,4,Silvertip Shark,C. albimarginatus,-5.314166667,72.271,Salomon,WiderArchipelago,88,97.5,120,F,-15.9,14.9,3.2
34,CAL-44,4/14/16,2016,4,Silvertip Shark,C. albimarginatus,-5.31175,72.27143333,Salomon,WiderArchipelago,111,123,148,F,-16.3,15.7,3.4
36,CAL-62,4/15/16,2016,4,Silvertip Shark,C. albimarginatus,-5.31175,72.27143333,Salomon,WiderArchipelago,121,134,162,F,-15.7,14.8,3.3
113,CAM-36,4/15/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-5.307833333,72.26865,Salomon,WiderArchipelago,83,91,106,M,-15.0,14.2,3.2
21,CAL-11,3/25/14,2014,3,Silvertip Shark,C. albimarginatus,-5.30735,72.26821667,Salomon,WiderArchipelago,88,96,117,F,-15.9,13.7,3.2
20,CAL-10,3/24/14,2014,3,Silvertip Shark,C. albimarginatus,-5.30735,72.26821667,Salomon,WiderArchipelago,89,98,118,F,-15.6,14.7,3.2
115,CAM-39,4/15/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-5.30735,72.26821667,Salomon,WiderArchipelago,75,83,100,F,-15.4,14.6,3.1
117,CAM-46,4/15/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-5.30735,72.26821667,Salomon,WiderArchipelago,91,100,121,M,-13.2,14.4,3.2
35,CAL-58,4/15/16,2016,4,Silvertip Shark,C. albimarginatus,-5.306216667,72.26716667,Salomon,WiderArchipelago,65,73,88,F,-15.6,14.6,3.1
112,CAM-35,4/15/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-5.306216667,72.26716667,Salomon,WiderArchipelago,102,111,137,F,-17.0,16.6,3.5
